seller_id,seller_city,seller_state,total_revenue,order_count,num_categories,avg_delivery_days,avg_review_score,late_shipping_percentage,cancellation_percentage,repeat_customer_percentage,recency_days,has_review,total_revenue_outlier_type,total_revenue_outlier_flag,order_count_outlier_type,order_count_outlier_flag,avg_delivery_days_outlier_type,avg_delivery_days_outlier_flag,avg_review_score_outlier_type,avg_review_score_outlier_flag,late_shipping_percentage_outlier_type,late_shipping_percentage_outlier_flag,recency_days_outlier_type,recency_days_outlier_flag
0015a82c2db000af6aaaf3ae2ecb0532,Santo Andre,SP,2748.06,3,1,10,3.67,0.0,0.0,0.0,364,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
001cca7ae9ae17fb1caed9dfb1094831,Cariacica,ES,33142.9,195,11,13,3.91,5.56,0.0,0.0,97,1,global,True,global,True,normal,False,normal,False,normal,False,normal,False
002100f778ceb8431b7a1020ff7ab48f,Franca,SP,1995.16,50,24,16,4.04,16.67,0.0,0.0,188,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
003554e2dce176b5555353e4f3555ac8,Goiania,GO,139.38,1,1,4,5.0,0.0,0.0,0.0,306,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
004c9cd9d87a3c30c522c48c4fc07416,Ibitinga,SP,23094.02,156,87,14,4.13,7.74,0.0,0.0,167,1,global,True,global,True,normal,False,normal,False,normal,False,normal,False
00720abe85ba0859807595bbf045a33b,Guarulhos,SP,1323.48,13,9,8,3.85,7.69,0.0,0.0,75,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
00ab3eff1b5192e5f1a63bcecfee11c8,Sao Paulo,SP,110.08,1,1,9,5.0,0.0,0.0,0.0,578,1,normal,False,normal,False,normal,False,normal,False,normal,False,global,True
00d8b143d12632bad99c0ad66ad52825,Belo Horizonte,MG,137.1,1,1,7,5.0,0.0,0.0,0.0,210,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
00ee68308b45bc5e2660cd833c3f81cc,Sao Paulo,SP,23440.66,135,23,9,4.36,8.14,0.0,0.0,69,1,global,True,global,True,normal,False,normal,False,normal,False,normal,False
00fc707aaaad2d31347cf883cd2dfe10,Maringa,PR,14969.99,103,19,15,3.78,4.44,0.0,0.0,126,1,global,True,global,True,normal,False,normal,False,normal,False,normal,False
010543a62bd80aa422851e79a3bc7540,Sao Paulo,SP,1447.95,2,1,9,4.5,0.0,0.0,0.0,441,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
010da0602d7774602cd1b3f5fb7b709e,Sao Bernardo do Campo,SP,1079.75,1,1,26,1.0,0.0,0.0,0.0,133,1,normal,False,normal,False,global,True,global,True,normal,False,normal,False
011b0eaba87386a2ae96a7d32bb531d1,Pompeia,SP,129.16,1,1,25,4.0,0.0,0.0,0.0,741,1,normal,False,normal,False,global,True,normal,False,normal,False,global,True
01266d4c46afa519678d16a8b683d325,Curitiba,PR,137.48,3,3,6,5.0,0.0,0.0,0.0,58,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
013900e863eace745d3ec7614cab5b1a,Curitiba,PR,2089.37,23,19,11,4.73,0.0,0.0,0.0,187,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
014c0679dd340a0e338872e7ec85666a,Timoteo,MG,7686.31,14,10,19,3.67,13.33,0.0,0.0,105,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
014d9a685fd57276679edd00e07089e5,Maringa,PR,876.81,11,3,8,4.56,0.0,0.0,0.0,61,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
0176f73cc1195f367f7b32db1e5b3aa8,Ibitinga,SP,5915.27,37,18,13,4.11,10.53,0.0,0.0,65,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
01bcc9d254a0143f0ce9791b960b2a47,Uruacu,GO,1644.69,10,3,12,4.4,0.0,0.0,0.0,257,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
01c97ebb5cdac52891c0ed1c37ba0012,Catanduva,SP,756.0,9,3,12,4.08,0.0,0.0,0.0,78,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
01cf7e3d21494c41fb86034f2e714fa1,Francisco Beltrao,PR,11404.01,59,21,11,4.21,4.62,0.0,0.0,233,1,global,True,global,True,normal,False,normal,False,normal,False,normal,False
01ed254b9ff8407dfb9d99ba1e17d923,Mogi das Cruzes,SP,1533.71,5,2,6,5.0,0.0,0.0,0.0,343,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
01fd077212124329bac32490e8ef80d9,Ribeirao Preto,SP,1783.36,31,12,7,4.46,2.56,0.0,0.0,54,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
01fdefa7697d26ad920e9e0346d4bd1b,Londrina,PR,17532.79,128,21,10,4.35,6.15,0.0,0.0,58,1,global,True,global,True,normal,False,normal,False,normal,False,normal,False
0241d4d5d36f10f80c644447315af0bd,Curitiba,PR,38251.61,238,56,10,4.42,5.69,0.0,0.0,50,1,global,True,global,True,normal,False,normal,False,normal,False,normal,False
0249d282d911d23cb8b869ab49c99f53,Sao Paulo,SP,531.88,11,4,10,4.5,18.18,0.0,0.0,209,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
024b564ae893ce8e9bfa02c10a401ece,Sao Paulo,SP,918.4,2,2,18,4.75,0.0,0.0,0.0,612,1,normal,False,normal,False,normal,False,normal,False,normal,False,global,True
028872bfa080090a9d0abd4f1af168f8,Ribeirao das Neves,MG,117.87,1,1,16,5.0,0.0,0.0,0.0,424,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
02b72cdeb9cfcc429f1af6f4e3f3b737,Ibitinga,SP,748.64,4,3,12,4.75,0.0,0.0,0.0,56,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
