seller_id,seller_city,seller_state,total_revenue,order_count,num_categories,avg_delivery_days,avg_review_score,late_shipping_percentage,cancellation_percentage,repeat_customer_percentage,recency_days
0015a82c2db000af6aaaf3ae2ecb0532,santo andre,SP,2748.06,3,1,10,3.67,0.0,0.0,0.0,364
001cca7ae9ae17fb1caed9dfb1094831,cariacica,ES,33142.9,195,11,13,3.91,5.56,0.0,0.0,97
002100f778ceb8431b7a1020ff7ab48f,franca,SP,1995.16,50,24,16,4.04,16.67,0.0,0.0,188
003554e2dce176b5555353e4f3555ac8,goiania,GO,139.38,1,1,4,5.0,0.0,0.0,0.0,306
004c9cd9d87a3c30c522c48c4fc07416,ibitinga,SP,23094.02,156,87,14,4.13,7.74,0.0,0.0,167
00720abe85ba0859807595bbf045a33b,guarulhos,SP,1323.48,13,9,8,3.85,7.69,0.0,0.0,75
00ab3eff1b5192e5f1a63bcecfee11c8,sao paulo,SP,110.08,1,1,9,5.0,0.0,0.0,0.0,578
00d8b143d12632bad99c0ad66ad52825,belo horizonte,MG,137.1,1,1,7,5.0,0.0,0.0,0.0,210
00ee68308b45bc5e2660cd833c3f81cc,sao paulo,SP,23440.66,135,23,9,4.36,8.14,0.0,0.0,69
00fc707aaaad2d31347cf883cd2dfe10,maringa,PR,14969.99,103,19,15,3.78,4.44,0.0,0.0,126
010543a62bd80aa422851e79a3bc7540,sao paulo,SP,1447.95,2,1,9,4.5,0.0,0.0,0.0,441
010da0602d7774602cd1b3f5fb7b709e,sao bernardo do campo,SP,1079.75,1,1,26,1.0,0.0,0.0,0.0,133
011b0eaba87386a2ae96a7d32bb531d1,pompeia,SP,129.16,1,1,25,4.0,0.0,0.0,0.0,741
01266d4c46afa519678d16a8b683d325,curitiba,PR,137.48,3,3,6,5.0,0.0,0.0,0.0,58
013900e863eace745d3ec7614cab5b1a,curitiba,PR,2089.37,23,19,11,4.73,0.0,0.0,0.0,187
014c0679dd340a0e338872e7ec85666a,timoteo,MG,7686.31,14,10,19,3.67,13.33,0.0,0.0,105
014d9a685fd57276679edd00e07089e5,maringa,PR,876.81,11,3,8,4.56,0.0,0.0,0.0,61
0176f73cc1195f367f7b32db1e5b3aa8,ibitinga,SP,5915.27,37,18,13,4.11,10.53,0.0,0.0,65
01bcc9d254a0143f0ce9791b960b2a47,uruacu,GO,1644.69,10,3,12,4.4,0.0,0.0,0.0,257
01c97ebb5cdac52891c0ed1c37ba0012,catanduva,SP,756.0,9,3,12,4.08,0.0,0.0,0.0,78
01cf7e3d21494c41fb86034f2e714fa1,francisco beltrao,PR,11404.01,59,21,11,4.21,4.62,0.0,0.0,233
01ed254b9ff8407dfb9d99ba1e17d923,mogi das cruzes,SP,1533.71,5,2,6,5.0,0.0,0.0,0.0,343
01fd077212124329bac32490e8ef80d9,ribeirao preto / sao paulo,SP,1783.36,31,12,7,4.46,2.56,0.0,0.0,54
01fdefa7697d26ad920e9e0346d4bd1b,londrina,PR,17532.79,128,21,10,4.35,6.15,0.0,0.0,58
0241d4d5d36f10f80c644447315af0bd,curitiba,PR,38251.61,238,56,10,4.42,5.69,0.0,0.0,50
0249d282d911d23cb8b869ab49c99f53,sao paulo,SP,531.88,11,4,10,4.5,18.18,0.0,0.0,209
024b564ae893ce8e9bfa02c10a401ece,sao paulo,SP,918.4,2,2,18,4.75,0.0,0.0,0.0,612
028872bfa080090a9d0abd4f1af168f8,ribeirao das neves,MG,117.87,1,1,16,5.0,0.0,0.0,0.0,424
02b72cdeb9cfcc429f1af6f4e3f3b737,ibitinga,SP,748.64,4,3,12,4.75,0.0,0.0,0.0,56
02c988090b766852e088c69d7fb3b551,americana,SP,1770.94,12,10,8,4.69,0.0,0.0,0.0,63
02d35243ea2e497335cd0f076b45675d,natal,RN,6399.95,14,3,25,2.8,37.5,0.0,0.0,76
